"V1","V2","V3","V4"
"DataSplitting","8","0.08","0.92"
"MultipleDataSplitting","8","0.0434782608695652","0.88"
"Knockoff","8","0","0.92"
"BH","8","0","0.92"
"LinReg DS","8","0.0952380952380952","0.76"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0.0454545454545455","0.84"
"MultipleDataSplitting","8","0.0869565217391304","0.84"
"Knockoff","8","0.16","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.24","0.76"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.153846153846154","0.88"
"MultipleDataSplitting","8","0.0833333333333333","0.88"
"Knockoff","8","0.0434782608695652","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0","0.72"
"LinReg MS","8","0.0526315789473684","0.72"
"DataSplitting","8","0.0769230769230769","0.96"
"MultipleDataSplitting","8","0.0769230769230769","0.96"
"Knockoff","8","0.148148148148148","0.92"
"BH","8","0","0.8"
"LinReg DS","8","0.105263157894737","0.68"
"LinReg MS","8","0.0952380952380952","0.76"
"DataSplitting","8","0","0.76"
"MultipleDataSplitting","8","0.0952380952380952","0.76"
"Knockoff","8","0.173913043478261","0.76"
"BH","8","0","0.72"
"LinReg DS","8","0.0434782608695652","0.88"
"LinReg MS","8","0","0.92"
"DataSplitting","8","0","0.92"
"MultipleDataSplitting","8","0","0.92"
"Knockoff","8","0","0.92"
"BH","8","0","0.92"
"LinReg DS","9","0.1","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.178571428571429","0.92"
"MultipleDataSplitting","9","0.0869565217391304","0.84"
"Knockoff","9","0.153846153846154","0.88"
"BH","9","0","0.8"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0.0454545454545455","0.84"
"DataSplitting","9","0.153846153846154","0.88"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.12","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0.136363636363636","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0","0.84"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0.0869565217391304","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0.0454545454545455","0.84"
"DataSplitting","9","0.0833333333333333","0.88"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0.0833333333333333","0.88"
"BH","9","0","0.84"
"LinReg DS","9","0.0833333333333333","0.88"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0","0.88"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.88"
"BH","9","0","0.88"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.125","0.84"
"MultipleDataSplitting","9","0.0454545454545455","0.84"
"Knockoff","9","0","0.84"
"BH","9","0","0.84"
