"Method","Delta","FDP","Power"
"Boost DS",11,0.233333333333333,0.92
"Boost MS",11,0.0416666666666667,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.130434782608696,0.8
"Boost MS",11,0.0454545454545455,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.76
"Boost MS",11,0,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.08,0.92
"Boost MS",11,0,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.111111111111111,0.96
"Boost MS",11,0.111111111111111,0.96
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0434782608695652,0.88
"Boost MS",11,0,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0909090909090909,0.8
"Boost MS",11,0.04,0.96
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.136363636363636,0.76
"Boost MS",11,0.25,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.178571428571429,0.92
"Boost MS",11,0.08,0.92
"DataSplitting",11,0,0
