"Method","Delta","FDP","Power"
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.05,0.76
"Boost MS",11,0.0909090909090909,0.8
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.142857142857143,0.72
"Boost MS",11,0,0.76
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0.0833333333333333,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.166666666666667,0.8
"Boost MS",11,0.16,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0434782608695652,0.88
"Boost MS",11,0,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",12,0.0833333333333333,0.88
"Boost MS",12,0,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.08,0.92
"Boost MS",12,0,0.88
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.8
"Boost MS",12,0,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.0869565217391304,0.84
"Boost MS",12,0,0.88
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.84
"Boost MS",12,0.0869565217391304,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.88
"Boost MS",12,0,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.153846153846154,0.88
"Boost MS",12,0,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.0555555555555556,0.68
"Boost MS",12,0,0.72
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.68
"Boost MS",12,0,0.76
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
