"seed","Method","Delta","FDP","Power"
24,"Boost MS",8,0.0476190476190476,0.8
24,"DataSplitting",8,0.0833333333333333,0.88
24,"MultipleDataSplitting",8,0.125,0.84
24,"Knockoff",8,0.125,0.84
24,"Benjamini–Hochberg (BH)",8,0,0.84
25,"Boost DS",8,0.05,0.76
25,"Boost MS",8,0.05,0.76
25,"DataSplitting",8,0.136363636363636,0.76
25,"MultipleDataSplitting",8,0,0.76
25,"Knockoff",8,0.05,0.76
25,"Benjamini–Hochberg (BH)",8,0,0.76
26,"Boost DS",8,0.208333333333333,0.76
26,"Boost MS",8,0,0.76
26,"DataSplitting",8,0.125,0.84
26,"MultipleDataSplitting",8,0.0869565217391304,0.84
26,"Knockoff",8,0.0869565217391304,0.84
26,"Benjamini–Hochberg (BH)",8,0,0.76
27,"Boost DS",8,0.0434782608695652,0.88
27,"Boost MS",8,0,0.88
27,"DataSplitting",8,0.08,0.92
27,"MultipleDataSplitting",8,0.0416666666666667,0.92
27,"Knockoff",8,0.08,0.92
27,"Benjamini–Hochberg (BH)",8,0,0.92
28,"Boost DS",8,0.130434782608696,0.8
28,"Boost MS",8,0.0833333333333333,0.88
28,"DataSplitting",8,0.115384615384615,0.92
28,"MultipleDataSplitting",8,0.0416666666666667,0.92
28,"Knockoff",8,0,0.92
28,"Benjamini–Hochberg (BH)",8,0,0.84
29,"Boost DS",8,0.0869565217391304,0.84
29,"Boost MS",8,0,0.8
29,"DataSplitting",8,0.0869565217391304,0.84
29,"MultipleDataSplitting",8,0,0.84
29,"Knockoff",8,0,0.84
29,"Benjamini–Hochberg (BH)",8,0,0.84
30,"Boost DS",8,0.130434782608696,0.8
30,"Boost MS",8,0,0.76
30,"DataSplitting",8,0.0454545454545455,0.84
30,"MultipleDataSplitting",8,0.115384615384615,0.92
30,"Knockoff",8,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",8,0,0.84
31,"Boost DS",8,0,0.84
31,"Boost MS",8,0.0833333333333333,0.88
31,"DataSplitting",8,0.0416666666666667,0.92
31,"MultipleDataSplitting",8,0,0.84
31,"Knockoff",8,0,0.88
31,"Benjamini–Hochberg (BH)",8,0,0.88
32,"Boost DS",8,0.0476190476190476,0.8
32,"Boost MS",8,0,0.76
32,"DataSplitting",8,0,0.84
32,"MultipleDataSplitting",8,0.0454545454545455,0.84
32,"Knockoff",8,0.16,0.84
32,"Benjamini–Hochberg (BH)",8,0,0.8
33,"Boost DS",8,0,0.72
33,"Boost MS",8,0.1,0.72
33,"DataSplitting",8,0.173913043478261,0.76
33,"MultipleDataSplitting",8,0.05,0.76
33,"Knockoff",8,0.136363636363636,0.76
33,"Benjamini–Hochberg (BH)",8,0,0.76
34,"Boost DS",8,0,0.72
34,"Boost MS",8,0,0.92
34,"DataSplitting",8,0.0416666666666667,0.92
34,"MultipleDataSplitting",8,0,0.88
34,"Knockoff",8,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",8,0,0.88
35,"Boost DS",8,0.225806451612903,0.96
35,"Boost MS",8,0,0.96
35,"DataSplitting",8,0.166666666666667,1
35,"MultipleDataSplitting",8,0.0769230769230769,0.96
35,"Knockoff",8,0.04,0.96
35,"Benjamini–Hochberg (BH)",8,0,0.96
36,"Boost DS",8,0.192307692307692,0.84
36,"Boost MS",8,0,0.88
36,"DataSplitting",8,0,0.88
36,"MultipleDataSplitting",8,0,0.88
36,"Knockoff",8,0.115384615384615,0.92
36,"Benjamini–Hochberg (BH)",8,0,0.88
37,"Boost DS",8,0.0909090909090909,0.8
37,"Boost MS",8,0,0.84
37,"DataSplitting",8,0.12,0.88
37,"MultipleDataSplitting",8,0.0434782608695652,0.88
37,"Knockoff",8,0.12,0.88
37,"Benjamini–Hochberg (BH)",8,0,0.88
38,"Boost DS",8,0.15,0.68
38,"Boost MS",8,0.0909090909090909,0.8
38,"DataSplitting",8,0.0476190476190476,0.8
38,"MultipleDataSplitting",8,0.0476190476190476,0.8
38,"Knockoff",8,0.125,0.84
38,"Benjamini–Hochberg (BH)",8,0,0.8
39,"Boost DS",8,0.424242424242424,0.76
39,"Boost MS",8,0.230769230769231,0.8
39,"DataSplitting",8,0,0.8
39,"MultipleDataSplitting",8,0.0454545454545455,0.84
39,"Knockoff",8,0.0909090909090909,0.8
39,"Benjamini–Hochberg (BH)",8,0,0.8
40,"Boost DS",8,0.136363636363636,0.76
40,"Boost MS",8,0,0.8
40,"DataSplitting",8,0,0.84
40,"MultipleDataSplitting",8,0,0.84
40,"Knockoff",8,0,0.84
40,"Benjamini–Hochberg (BH)",8,0,0.84
41,"Boost DS",8,0,0.68
41,"Boost MS",8,0,0.84
41,"DataSplitting",8,0.0833333333333333,0.88
41,"MultipleDataSplitting",8,0,0.88
41,"Knockoff",8,0,0.92
41,"Benjamini–Hochberg (BH)",8,0,0.92
42,"Boost DS",8,0,0.72
42,"Boost MS",8,0,0.72
42,"DataSplitting",8,0.0454545454545455,0.84
42,"MultipleDataSplitting",8,0,0.8
42,"Knockoff",8,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",8,0,0.76
43,"Boost DS",8,0.0833333333333333,0.88
43,"Boost MS",8,0,0.88
43,"DataSplitting",8,0.04,0.96
43,"MultipleDataSplitting",8,0,0.88
43,"Knockoff",8,0.0769230769230769,0.96
43,"Benjamini–Hochberg (BH)",8,0,0.92
44,"Boost DS",8,0.0526315789473684,0.72
44,"Boost MS",8,0,0.76
44,"DataSplitting",8,0.125,0.84
44,"MultipleDataSplitting",8,0,0.84
44,"Knockoff",8,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",8,0,0.8
45,"Boost DS",8,0.05,0.76
45,"Boost MS",8,0,0.88
45,"DataSplitting",8,0,0.88
45,"MultipleDataSplitting",8,0,0.84
45,"Knockoff",8,0.0434782608695652,0.88
45,"Benjamini–Hochberg (BH)",8,0,0.88
46,"Boost DS",8,0.0434782608695652,0.88
46,"Boost MS",8,0,0.88
46,"DataSplitting",8,0.12,0.88
46,"MultipleDataSplitting",8,0,0.84
46,"Knockoff",8,0,0.88
46,"Benjamini–Hochberg (BH)",8,0,0.88
47,"Boost DS",8,0.0909090909090909,0.8
47,"Boost MS",8,0,0.8
47,"DataSplitting",8,0.0434782608695652,0.88
47,"MultipleDataSplitting",8,0,0.84
47,"Knockoff",8,0,0.88
47,"Benjamini–Hochberg (BH)",8,0,0.8
48,"Boost DS",8,0.28125,0.92
48,"Boost MS",8,0.0416666666666667,0.92
48,"DataSplitting",8,0.0416666666666667,0.92
48,"MultipleDataSplitting",8,0,0.88
48,"Knockoff",8,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",8,0,0.92
49,"Boost DS",8,0.181818181818182,0.72
49,"Boost MS",8,0.0476190476190476,0.8
49,"DataSplitting",8,0,0.76
49,"MultipleDataSplitting",8,0,0.84
